,exp_path,batch_size,bn,cpu,device,dropout,dropout_rate,epochs,exp_no,gamma,kfold,loss_fn,lr,model,note,optim,scheduler,step_size,0.0 f1-score,0.0 precision,0.0 recall,0.0 support,1.0 f1-score,1.0 precision,1.0 recall,1.0 support,accuracy,macro avg f1-score,macro avg precision,macro avg recall,macro avg support,weighted avg f1-score,weighted avg precision,weighted avg recall,weighted avg support,conv_blocks,filters,hidden_layers,hidden_units,kernel_size
782,..\experiments\1701,256,FALSE,FALSE,0,TRUE,0.8,128,1701,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.961784181,0.981229047,0.943291658,413.8,0.919591455,0.884551498,0.958290417,186.2,0.948333333,0.940687818,0.932890272,0.950791038,600,0.948866289,0.951193152,0.948333333,600,1,128,2,128,2
199,..\experiments\1177,256,FALSE,FALSE,0,FALSE,0.5,128,1177,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962720157,0.966867769,0.958684516,413.8,0.917236374,0.908548052,0.926450157,186.2,0.948666667,0.939978265,0.937707911,0.942567336,600,0.94884275,0.949255964,0.948666667,600,1,128,4,256,1
1313,..\experiments\218,256,FALSE,FALSE,0,FALSE,0.5,128,218,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963654882,0.950983603,0.97749782,413.8,0.915988021,0.948627935,0.889101451,186.2,0.949333333,0.939821452,0.949805769,0.933299636,600,0.948820888,0.95098019,0.949333333,600,2,32,2,16,1
289,..\experiments\1258,256,FALSE,FALSE,0,FALSE,0.5,128,1258,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962719691,0.966999456,0.958544439,413.8,0.917106967,0.908782812,0.925910632,186.2,0.948666667,0.939913329,0.937891134,0.942227536,600,0.948813966,0.94917932,0.948666667,600,1,128,5,256,1
2315,..\experiments\890,256,FALSE,FALSE,0,FALSE,0.5,128,890,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.962624042,0.967772754,0.958541417,413.8,0.917227298,0.913871448,0.92539444,186.2,0.948666667,0.93992567,0.940822101,0.941967929,600,0.948806803,0.95114124,0.948666667,600,2,256,5,64,1
841,..\experiments\1755,256,TRUE,FALSE,0,TRUE,0.5,128,1755,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.961602686,0.982508557,0.942325376,413.8,0.919337842,0.882209736,0.96318851,186.2,0.948,0.940470264,0.932359147,0.952756943,600,0.948773793,0.952675201,0.948,600,1,128,2,128,2
1038,..\experiments\1932,256,TRUE,FALSE,0,FALSE,0.5,256,1932,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963279483,0.954521228,0.972297026,413.8,0.915867764,0.936716298,0.896474063,186.2,0.949,0.939573624,0.945618763,0.934385545,600,0.948663387,0.948948367,0.949,600,1,128,2,64,2
1299,..\experiments\2167,256,FALSE,FALSE,0,FALSE,0.8,256,2167,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.960858056,0.995313184,0.928803325,413.8,0.920811432,0.860916214,0.990341182,186.2,0.947666667,0.940834744,0.928114699,0.959572254,600,0.948653761,0.9542232,0.947666667,600,1,128,2,64,3
1251,..\experiments\2123,256,FALSE,FALSE,0,TRUE,0.5,256,2123,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962833235,0.96352893,0.962319506,413.8,0.91651083,0.916213361,0.917740433,186.2,0.948666667,0.939672032,0.939871146,0.94002997,600,0.948634556,0.949011757,0.948666667,600,1,128,3,128,4
840,..\experiments\1754,256,TRUE,FALSE,0,TRUE,0.5,128,1754,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.961449854,0.981428114,0.942403635,413.8,0.91959623,0.882905473,0.960019853,186.2,0.948,0.940523042,0.932166793,0.951211744,600,0.948588307,0.950970601,0.948,600,1,128,2,64,4
